client_id,last_name,first_name,patronymic,birth_date,passport_series,passport_number,passport_issued_by,address,phone,email
44,Дроздов,Савва,Матвеевна,1947-12-29,8464,711878,ГУ МВД России по Ярославская обл.,"д. Адыгейск, ул. Таманская, д. 92, 143410",+7 (697) 117-9808,gavrilakalinin@example.com
45,Максимова,Милован,Демидович,1945-06-28,6156,329974,ГУ МВД России по Ханты-Мансийский АО,"г. Тула, пер. 9 мая, д. 167 стр. 6/5, 515319",8 205 852 7722,terentevratmir@example.org
46,Маслов,Аникей,Тимофеевна,1965-05-09,2775,617488,ГУ МВД России по Астраханская обл.,"д. Пермь, пр. Прудный, д. 634 стр. 254, 667652",8 (758) 416-16-92,kuprijan_1991@example.org
47,Лапин,Вера,Ерофеевич,1950-11-01,2116,214975,ГУ МВД России по Ставропольский край,"клх Сасово, пр. Западный, д. 7 к. 1, 658202",87021355690,nonnablohina@example.com
48,Белозеров,София,Артемьевич,1970-09-13,2990,267753,ГУ МВД России по Самарская обл.,"к. Лабытнанги, ул. Заводская, д. 97, 814473",84731217271,galina_51@example.net
49,Савин,Ладимир,Владиленович,1982-04-12,9764,725380,ГУ МВД России по Нижегородская обл.,"п. Дзержинск, ш. Журавлева, д. 658, 829114",8 786 691 25 17,ekaterina2005@example.com
50,Гуляева,Эмилия,Афанасьевна,1954-02-12,1859,500156,ГУ МВД России по Воронежская обл.,"ст. Гремячинск (Бурят.), алл. Свободы, д. 62 стр. 95, 143842",+79818299229,feoktist_00@example.org
51,Русакова,Анастасия,Сергеевна,1948-06-23,8669,654816,ГУ МВД России по Краснодарский край,"с. Ямбург, наб. Дружбы, д. 4/7 стр. 8, 027677",+7 (592) 555-6258,vatslav_1991@example.org
52,Николаев,Карл,Филимонович,1977-02-16,4280,112038,ГУ МВД России по Ивановская обл.,"к. Оренбург, пр. Новгородский, д. 65 стр. 82, 747016",8 (733) 950-0479,konon2006@example.org
53,Рябов,Петр,Венедиктович,2003-01-13,9724,814825,ГУ МВД России по Пермский край,"г. Петухово, пер. Омский, д. 9, 168784",89121655852,erastpanfilov@example.com
54,Федоров,Аникита,Алексеевич,1979-06-01,7844,905934,ГУ МВД России по Ярославская обл.,"д. Середниково, пер. Казачий, д. 6, 694958",8 (879) 470-5516,marfa09@example.com
55,Кондратьева,Валерия,Станиславовна,1963-06-15,9253,216970,ГУ МВД России по Белгородская обл.,"д. Ярославль, пер. Максима Горького, д. 13 стр. 830, 626368",87028385786,dementi_78@example.com
56,Рогов,Евпраксия,Сергеевна,1982-07-23,4765,265840,ГУ МВД России по Ставропольский край,"к. Усть-Ордынский, алл. Строителей, д. 4 к. 6/8, 844198",8 652 404 15 74,ermil1983@example.net
57,Белозерова,Феликс,Матвеевна,1963-11-02,6810,857168,ГУ МВД России по Камчатский край,"п. Белогорск (Амур.), пер. Космический, д. 20 стр. 6/8, 208267",8 (345) 401-93-80,nainabobileva@example.org
58,Богданов,Никон,Тарасовна,2007-12-19,4374,898975,ГУ МВД России по Ханты-Мансийский АО,"г. Макушино, пер. Загородный, д. 5 стр. 9/9, 287431",8 274 205 4932,blarionova@example.net
59,Захаров,Олег,Кузьминична,1967-09-13,3274,211579,ГУ МВД России по респ. Ингушетия,"к. Кош-Агач, наб. Пархоменко, д. 57, 499045",+7 (017) 426-8414,juri_33@example.org
60,Тимофеев,Радован,Робертовна,1977-12-04,9048,982554,ГУ МВД России по Приморский край,"ст. Котлас, ш. Широкое, д. 9/6 стр. 191, 982258",8 (139) 718-70-72,pavel_2001@example.net
61,Баранова,Роман,Константиновна,1949-04-25,9174,738551,ГУ МВД России по Алтайский край,"ст. Агинское (Забайк.), алл. Станционная, д. 265 стр. 117, 622656",8 (661) 825-12-86,vladimir_2019@example.org
62,Иванов,Регина,Адамович,2002-03-12,3529,492077,ГУ МВД России по Ставропольский край,"ст. Кириши, пр. Новоселов, д. 44, 069033",+7 190 790 30 67,timurrjabov@example.org
63,Новикова,Корнил,Даниилович,1954-12-03,3079,916449,ГУ МВД России по Пермский край,"п. Тотьма, пр. Чкалова, д. 1, 687056",8 (566) 246-2873,ladimirgordeev@example.net
64,Калашникова,Ростислав,Антонович,1955-03-17,7710,728038,ГУ МВД России по Ямало-Ненецкий АО,"п. Краснотурьинск, наб. Крестьянская, д. 6/2, 046990",+7 398 373 54 03,viktorindementev@example.com
65,Мартынов,Ирина,Викторовна,2007-08-12,5172,120422,ГУ МВД России по Новосибирская обл.,"ст. Липецк, пр. Гайдара, д. 5 к. 9, 717535",8 609 320 4899,jkapustin@example.org
66,Рыбаков,Натан,Болеславовна,1967-10-31,2456,972064,ГУ МВД России по Ростовская обл.,"ст. Сунтар, бул. Папанина, д. 3/6 стр. 92, 280801",+7 062 312 0387,aristarh_99@example.com
67,Туров,Аггей,Абрамович,1990-04-01,4940,160738,ГУ МВД России по Еврейская АО,"д. Луга, пер. Парижской Коммуны, д. 21, 339845",+76156793341,tarasovamilitsa@example.com
68,Гусева,Савелий,Антонович,1971-01-19,4082,182582,ГУ МВД России по респ. Ингушетия,"ст. Рязань, ш. Толстого, д. 480 стр. 89, 014890",+7 (503) 926-14-29,ferapontshchukin@example.com
69,Зыкова,Тимур,Игнатович,1991-06-16,2072,955662,ГУ МВД России по Ханты-Мансийский АО,"г. Внуково (метеост.), алл. Фабричная, д. 7 к. 1, 773586",8 296 194 31 14,marinakulakova@example.net
70,Овчинникова,Никита,Жоресович,1955-11-19,1878,903035,ГУ МВД России по Забайкальский край,"к. Саянск, ш. Просторное, д. 321 к. 8/9, 101581",89560466183,david_2016@example.com
71,Матвеев,Карп,Ефимьевич,1956-12-01,2626,791798,ГУ МВД России по Ставропольский край,"п. Салават, пр. Горького, д. 2/6 к. 4, 993712",+70659657569,klavdijamarkova@example.net
72,Власов,Самуил,Жанович,1992-09-12,7080,273148,ГУ МВД России по Новосибирская обл.,"клх Яшкуль, пер. Харьковский, д. 7 к. 7, 193982",8 (073) 741-6724,ippolitprohorov@example.org
73,Сазонов,Наркис,Артёмович,1994-01-21,4377,736059,ГУ МВД России по Ненецкий АО,"д. Терней, пр. Подгорный, д. 9 стр. 613, 909656",+7 014 388 89 93,mstislav1996@example.com
74,Щербакова,Харитон,Львовна,1997-12-10,6437,665492,ГУ МВД России по Мурманская обл.,"г. Магнитогорск, ул. Пограничная, д. 55 к. 8, 875717",8 (514) 010-51-23,demid_2007@example.org
75,Баранова,Парфен,Фомич,1967-11-28,9835,847581,ГУ МВД России по Новосибирская обл.,"клх Рыльск, ул. Ивановская, д. 7/7 к. 533, 918255",+7 (714) 785-9696,shestakovmilovan@example.com
76,Коновалов,Евгения,Максимовна,1987-05-25,4961,804314,ГУ МВД России по Забайкальский край,"г. Коломна, ул. Казанская, д. 3 к. 7/3, 627828",+7 (742) 257-90-50,vsemil1983@example.com
77,Морозова,Валентина,Эдгарович,1983-08-08,9357,559381,ГУ МВД России по Ямало-Ненецкий АО,"с. Зарайск, пер. Совхозный, д. 14, 384279",8 (881) 914-85-80,trifon1984@example.com
78,Горшкова,Валентина,Рубеновна,1952-05-09,7667,226882,ГУ МВД России по Липецкая обл.,"к. Нижневартовск, пр. Пригородный, д. 63, 292330",85849825449,sofon12@example.com
79,Ковалев,Кирилл,Ивановна,2007-11-28,4138,167136,ГУ МВД России по Челябинская обл.,"п. Москва, МГУ, ш. Пирогова, д. 3/5, 671168",+75775901751,nikon_1984@example.com
80,Родионов,Серафим,Евстигнеевич,2001-07-07,5312,716886,ГУ МВД России по Красноярский край,"д. Стрежевой, бул. Сосновый, д. 117 к. 827, 632424",+7 541 520 64 36,krjukovvalentin@example.org
81,Пестов,Бажен,Васильевич,1959-11-28,8039,717024,ГУ МВД России по Самарская обл.,"г. Нерчинск, ш. Челюскинцев, д. 27, 611155",+72622189092,mili2019@example.org
82,Галкина,Георгий,Фадеевич,1988-02-16,3810,174441,ГУ МВД России по Ханты-Мансийский АО,"п. Горячинск, бул. Серова, д. 7 стр. 3, 413899",84043898364,sharovazhanna@example.com
83,Цветков,Иларион,Эдуардович,1971-08-24,9017,340062,ГУ МВД России по респ. Татарстан,"к. Дагомыс, ш. Фадеева, д. 9 к. 27, 910430",+7 684 866 6188,irinamihalova@example.com
84,Соловьева,Елизар,Филипповна,1950-10-06,1814,446479,ГУ МВД России по Саратовская обл.,"д. Бологое, бул. Николаева, д. 40 к. 861, 421020",+7 (758) 842-52-41,mironovanatalja@example.com
85,Гусев,Каллистрат,Натановна,1981-01-12,1975,349565,ГУ МВД России по респ. Северная Осетия - Алания,"г. Тамбов, алл. Нахимова, д. 24 стр. 138, 030756",+7 (208) 635-36-54,drozdovmoke@example.org
86,Фомина,Антонин,Вячеславович,1979-07-20,4595,608993,ГУ МВД России по Самарская обл.,"г. Смирных, ш. Чехова, д. 2 к. 1/6, 494937",8 973 832 0603,milan_2013@example.net
87,Соколов,Марк,Ааронович,2005-01-28,3779,238739,ГУ МВД России по Чукотский АО,"д. Когалым, пр. Таежный, д. 24 к. 738, 719182",8 199 062 34 45,vrodionova@example.com
88,Лихачев,Ким,Даниилович,1967-01-11,8383,595631,ГУ МВД России по респ. Кабардино-Балкария,"п. Воскресенск, пр. Ульянова, д. 7, 853747",+71124903521,mirafanasev@example.net
89,Мельникова,Ладимир,Дорофеевич,1948-09-18,4170,946721,ГУ МВД России по Архангельская обл.,"д. Усть-Джегута, ул. Леонова, д. 121, 323651",89410137215,volkovroman@example.org
90,Уварова,Филипп,Феликсович,1956-10-25,6234,198907,ГУ МВД России по Ямало-Ненецкий АО,"клх Россошь, наб. Прибрежная, д. 54, 209993",+77687014626,stepankrilov@example.net
91,Макарова,Адам,Тарасович,1999-12-21,2294,551989,ГУ МВД России по Ставропольский край,"д. Тверь, пр. Просторный, д. 60 к. 50, 785932",+7 334 803 96 52,zhannakapustina@example.com
92,Чернова,Ия,Ильясович,2000-03-31,5564,531071,ГУ МВД России по респ. Крым,"ст. Сызрань, наб. Ягодная, д. 1/2 стр. 439, 870593",+7 (525) 002-92-18,afanasi_56@example.net
93,Муравьев,Ладислав,Захарьевич,1952-04-05,6916,806073,ГУ МВД России по Иркутская обл.,"клх Мокшан, бул. 70 лет Октября, д. 39, 442209",8 902 959 39 17,lorakononova@example.org
94,Шубин,Лучезар,Владленович,1961-07-31,9392,203198,ГУ МВД России по респ. Чувашия,"г. Кунгур, алл. Профсоюзная, д. 5, 006762",8 765 861 79 32,afanasi2024@example.org
95,Волков,Лучезар,Дорофеевич,1965-06-14,1761,863587,ГУ МВД России по респ. Башкортостан,"с. Железногорск(Курск.), ул. Студенческая, д. 8 стр. 762, 015336",8 (844) 431-0698,gerasim1973@example.com
96,Красильников,Боян,Ерофеевич,1945-08-23,5323,360735,ГУ МВД России по Ханты-Мансийский АО,"п. Зеленоград, наб. Широкая, д. 2/5 стр. 8/8, 186256",8 270 477 4349,alekseevaantonina@example.org
97,Пахомов,Тит,Фадеевич,1990-11-07,3434,662336,ГУ МВД России по Сахалинская обл.,"ст. Троицк (Моск.), пер. Шишкина, д. 57 к. 960, 172233",+7 (061) 632-94-51,kolesnikovfedor@example.com
98,Кулагин,Кирилл,Александровна,1982-12-14,6727,542374,ГУ МВД России по Еврейская АО,"с. Егорьевск, пер. Сиреневый, д. 591, 646799",8 (024) 629-96-06,zoja_30@example.net
99,Князева,Карп,Марсович,1977-09-21,3345,585100,ГУ МВД России по респ. Коми,"к. Сухиничи, бул. Гражданский, д. 52 стр. 6/5, 913736",8 (850) 821-48-62,filaret_1971@example.org
100,Носова,Евстигней,Антонович,1958-07-03,4119,564656,ГУ МВД России по Астраханская обл.,"к. Камышин, наб. Металлистов, д. 2/1 к. 85, 279855",+7 (414) 060-29-33,elisefedotov@example.net
101,Васильева,Адриан,Семеновна,1973-04-02,8022,153045,ГУ МВД России по респ. Северная Осетия - Алания,"д. Алапаевск, наб. Маяковского, д. 7, 574374",8 (969) 108-5899,lavrenti17@example.org
102,Жданов,Алла,Зиновьевич,1968-04-08,9379,976638,ГУ МВД России по Красноярский край,"п. Томпа, ул. 50 лет ВЛКСМ, д. 3, 744666",+7 993 538 7584,tamarakoroleva@example.com
103,Фокин,Владимир,Павловна,1952-01-10,1121,890170,ГУ МВД России по Хабаровский край,"клх Верхний Уфалей, наб. Главная, д. 7, 549471",8 (099) 917-38-16,lavrenti_1998@example.org
104,Гурьева,Георгий,Викентьевич,2004-08-24,4031,526156,ГУ МВД России по Московская обл.,"п. Моздок, алл. Тихая, д. 6/3 стр. 1, 743292",8 (129) 666-67-60,lukinaevpraksija@example.net
105,Стрелкова,Агафон,Захарьевич,1970-10-10,7271,324130,ГУ МВД России по Архангельская обл.,"п. Нефедова, алл. Пушкинская, д. 9/5 к. 11, 478985",8 257 532 60 33,ekaterinagureva@example.org
106,Морозова,Давыд,Валерьевич,1985-07-06,6117,272634,ГУ МВД России по Алтайский край,"ст. Тырныауз, ул. Сосновая, д. 200 стр. 8/7, 847230",+76184992618,bobrovvikenti@example.org
107,Афанасьев,Ювеналий,Германович,1979-04-04,5810,509386,ГУ МВД России по Хабаровский край,"клх Поярково, алл. Вокзальная, д. 4/8 к. 4, 011972",+7 811 437 44 70,avdeevdemid@example.org
108,Савин,Мирослав,Феликсовна,2003-05-19,4368,399105,ГУ МВД России по Приморский край,"ст. Балтийск, ш. Придорожное, д. 65, 941552",+7 667 467 62 12,fokinagalina@example.org
109,Сазонова,Харлампий,Харлампьевич,1973-09-11,6499,865990,ГУ МВД России по Ханты-Мансийский АО,"д. Арсеньев, ш. Мельничное, д. 8/2 стр. 8/1, 450899",+7 (588) 916-3756,tamararozhkova@example.net
110,Лебедев,Ангелина,Владиленович,1949-02-05,8194,853305,ГУ МВД России по Ямало-Ненецкий АО,"ст. Сухиничи, алл. Тургенева, д. 1 к. 78, 317797",+7 775 170 16 60,uljan_1970@example.org
111,Жукова,Ян,Егоровна,1999-04-07,7229,299122,ГУ МВД России по Хабаровский край,"к. Ногинск (Моск.), ш. Главное, д. 6/9, 571130",8 548 851 0272,qsobolev@example.net
112,Мельников,Виссарион,Тимурович,1958-09-19,4737,161324,ГУ МВД России по Пензенская обл.,"г. Псков, бул. Волжский, д. 8/9, 708086",87829221699,silanti_66@example.net
113,Исакова,София,Денисович,2007-09-18,8479,163918,ГУ МВД России по Приморский край,"с. Далматово, пр. Горького, д. 9, 339452",+7 (885) 158-79-96,konon_1998@example.org
114,Соболев,Аким,Тарасович,1980-12-15,5017,152578,ГУ МВД России по Белгородская обл.,"к. Железногорск(Курск.), бул. Сплавный, д. 50 к. 18, 719838",8 384 066 65 80,kononovazoja@example.org
115,Мишина,Эмилия,Феофанович,1987-08-13,8471,627276,ГУ МВД России по Томская обл.,"ст. Калязин, пр. Тепличный, д. 922 к. 760, 842294",+7 572 025 9094,filipp2007@example.com
116,Капустина,Лидия,Жоресович,1950-05-06,7730,159642,ГУ МВД России по Калининградская обл.,"с. Урус-Мартан, пр. Звездный, д. 4 стр. 65, 439878",+7 157 399 3056,blinovisa@example.net
117,Воронцов,Аким,Ярославович,1994-08-26,7520,992697,ГУ МВД России по Хабаровский край,"г. Майкоп, алл. Ломоносова, д. 912 стр. 413, 138612",+7 750 110 2481,isidorisakov@example.com
118,Боброва,Онуфрий,Феликсович,1976-01-31,3318,723939,ГУ МВД России по Алтайский край,"д. Азов (Рост.), бул. Светлый, д. 915 стр. 244, 766072",8 (326) 842-4508,vjacheslav_1978@example.org
119,Романова,Эдуард,Тимурович,1945-09-23,1896,346629,ГУ МВД России по респ. Карелия,"п. Прохладный, ш. Морское, д. 42 стр. 4, 290878",+7 414 139 75 52,varlaambobrov@example.net
120,Бирюкова,Евлампий,Жоресович,1950-02-19,6125,697347,ГУ МВД России по Ямало-Ненецкий АО,"клх Чермоз, пер. Радищева, д. 7, 053364",8 257 775 4781,eleonorafedorova@example.com
121,Ларионова,Вышеслав,Антоновна,2003-10-27,4184,723398,ГУ МВД России по Курганская обл.,"г. Терскол, ул. Черемушки, д. 90 стр. 9, 256394",+7 (788) 165-80-39,raisakudrjavtseva@example.com
122,Ефимов,Феофан,Богдановна,1956-03-21,1589,185965,ГУ МВД России по Псковская обл.,"п. Сузун, ул. Путевая, д. 4, 385677",+7 051 844 9892,ysuhanova@example.com
123,Суханова,Бажен,Ярославович,1985-05-17,6394,712024,ГУ МВД России по Приморский край,"к. Нефтегорск (Самар.), ш. Невского, д. 882 к. 23, 322259",+7 365 177 73 92,psolovev@example.org
124,Романова,Христофор,Владиславович,1954-02-01,8276,431737,ГУ МВД России по Томская обл.,"г. Завьялиха, алл. Кольцова, д. 441 к. 8/8, 369292",88425799136,gbelousov@example.org
125,Виноградова,Силантий,Леоновна,1959-02-26,4336,802258,ГУ МВД России по Ханты-Мансийский АО,"с. Эльтон, ул. Толбухина, д. 317 стр. 768, 086376",8 991 624 7314,osip_1987@example.org
126,Зуева,Октябрина,Тимофеевна,1945-10-03,5040,378517,ГУ МВД России по респ. Удмуртия,"с. Карачаевск, ш. Куйбышева, д. 6/2 стр. 56, 869594",8 368 872 58 87,leon95@example.net
127,Горшкова,Всеслав,Игоревна,1972-06-23,6026,804318,ГУ МВД России по респ. Калмыкия,"г. Качканар, пр. Титова, д. 126 стр. 727, 143519",+7 669 849 0277,medvedevaregina@example.com
128,Виноградов,Эммануил,Яковлевич,1958-08-21,9248,579434,ГУ МВД России по Тверская обл.,"к. Коломна, ул. Авиационная, д. 646 стр. 7/4, 118489",8 543 937 6904,nadezhdaselezneva@example.org
129,Куликов,Сила,Ерофеевич,1983-05-26,5019,109767,ГУ МВД России по Забайкальский край,"клх Саров (Морд.), пер. Леваневского, д. 85 к. 1/8, 416335",8 588 043 41 65,zhdanovdenis@example.com
130,Рогов,Ерофей,Борисовна,1966-09-29,6889,690341,ГУ МВД России по Камчатский край,"клх Камышлов, бул. Тульский, д. 4, 339521",+7 179 080 75 95,firs1988@example.com
131,Жданова,Сократ,Елисеевич,1957-10-30,2219,663750,ГУ МВД России по Ханты-Мансийский АО,"д. Ревда (Сверд.), пер. Спортивный, д. 7 к. 27, 500369",+7 559 428 43 47,mihe_27@example.com
132,Дьячков,Кира,Рубеновна,1959-09-17,3774,378082,ГУ МВД России по Пермский край,"с. Ирбит, алл. Курганная, д. 943 стр. 7/4, 270267",+7 (885) 744-89-06,pahomovgremislav@example.org
133,Кулагина,Ираклий,Харламович,1960-01-18,2654,172132,ГУ МВД России по респ. Саха (Якутия),"к. Новосибирск, пер. Иркутский, д. 1 стр. 2/6, 998245",8 877 169 4722,pantelemon_99@example.com
134,Дьячкова,Аскольд,Артурович,2003-02-25,4157,398830,ГУ МВД России по Московская обл.,"к. Люберцы, наб. Геологов, д. 8 стр. 9, 622023",+71326111780,mamontovamarfa@example.net
135,Сергеев,Василий,Евсеевич,1997-06-11,3066,974244,ГУ МВД России по Владимирская обл.,"п. Котлас, наб. Азина, д. 92 стр. 10, 577848",8 (282) 997-96-88,milan78@example.org
